Time	Male	Female	Zombie
0	22265	20412	3
1	22265	20412	3
2	22264	20412	4
3	22264	20412	4
4	22264	20412	1
5	22264	20412	0
6	22264	20412	0
7	22264	20412	0
8	22263	20412	0
9	22263	20412	0
10	22263	20412	0
11	22263	20412	0
12	22263	20412	0
13	22263	20412	0
14	22263	20412	0
15	22263	20412	0
16	22263	20412	0
17	22263	20412	0
18	22263	20412	0
19	22263	20412	0
20	22263	20412	0
21	22263	20412	0
22	22262	20412	0
23	22262	20412	0
24	22262	20412	0
25	22262	20412	0
26	22262	20412	0
27	22262	20412	0
28	22262	20412	0
29	22262	20412	0
30	22262	20412	0
31	22262	20412	0
32	22262	20412	0
33	22262	20412	0
34	22262	20412	0
35	22262	20412	0
36	22262	20412	0
37	22262	20412	0
38	22262	20412	0
39	22262	20412	0
40	22262	20412	0
41	22262	20412	0
42	22262	20412	0
43	22262	20412	0
44	22262	20412	0
45	22262	20412	0
46	22262	20412	0
47	22262	20411	0
48	22262	20411	0
49	22262	20411	0
50	22262	20411	0
51	22262	20411	0
52	22262	20411	0
53	22262	20411	0
54	22262	20411	0
55	22262	20411	0
56	22262	20411	0
57	22262	20411	0
58	22262	20411	0
59	22262	20411	0
60	22262	20411	0
61	22262	20411	0
62	22262	20411	0
63	22262	20411	0
64	22262	20411	0
65	22262	20411	0
66	22262	20411	0
67	22262	20411	0
68	22262	20411	0
69	22262	20411	0
70	22262	20411	0
71	22262	20411	0
72	22262	20411	0
73	22262	20411	0
74	22262	20411	0
75	22262	20411	0
76	22262	20411	0
77	22262	20411	0
78	22262	20411	0
79	22262	20411	0
80	22262	20411	0
81	22262	20411	0
82	22262	20411	0
83	22261	20411	0
84	22261	20411	0
85	22261	20411	0
86	22261	20411	0
87	22261	20411	0
88	22261	20411	0
89	22261	20411	0
90	22261	20411	0
91	22261	20411	0
92	22261	20411	0
93	22261	20411	0
94	22261	20411	0
95	22261	20411	0
96	22261	20411	0
97	22261	20411	0
98	22261	20411	0
99	22261	20411	0
100	22261	20411	0
101	22261	20411	0
102	22261	20411	0
103	22261	20411	0
104	22261	20411	0
105	22261	20411	0
106	22261	20411	0
107	22261	20411	0
108	22261	20411	0
109	22261	20411	0
110	22261	20411	0
111	22261	20411	0
112	22261	20411	0
113	22261	20411	0
114	22261	20411	0
115	22261	20411	0
116	22261	20411	0
117	22261	20411	0
118	22261	20411	0
119	22261	20411	0
120	22261	20411	0
121	22261	20411	0
122	22261	20411	0
123	22261	20411	0
124	22261	20410	0
125	22260	20410	0
126	22260	20410	0
127	22260	20410	0
128	22260	20410	0
129	22260	20410	0
130	22260	20410	0
131	22260	20410	0
132	22260	20410	0
133	22260	20410	0
134	22260	20410	0
135	22260	20410	0
136	22260	20410	0
137	22260	20410	0
138	22260	20410	0
139	22260	20410	0
140	22260	20410	0
141	22260	20410	0
142	22260	20410	0
143	22260	20410	0
144	22260	20410	0
145	22260	20410	0
146	22260	20410	0
147	22260	20410	0
148	22260	20410	0
149	22260	20410	0
150	22260	20410	0
151	22260	20410	0
152	22260	20410	0
153	22260	20410	0
154	22260	20410	0
155	22260	20410	0
156	22260	20410	0
157	22260	20410	0
158	22260	20410	0
159	22260	20410	0
160	22260	20410	0
161	22260	20410	0
162	22260	20410	0
163	22260	20410	0
164	22260	20410	0
165	22260	20410	0
166	22260	20410	0
167	22260	20410	0
168	22260	20410	0
169	22260	20410	0
170	22260	20410	0
171	22260	20410	0
172	22260	20410	0
173	22260	20410	0
174	22260	20410	0
175	22260	20410	0
176	22260	20410	0
177	22260	20410	0
178	22260	20410	0
179	22260	20410	0
180	22260	20410	0
181	22260	20410	0
182	22260	20410	0
183	22260	20410	0
184	22260	20410	0
185	22260	20410	0
186	22260	20410	0
187	22260	20410	0
188	22260	20410	0
189	22260	20410	0
190	22260	20410	0
191	22260	20410	0
192	22260	20410	0
193	22260	20410	0
194	22260	20410	0
195	22260	20410	0
196	22260	20410	0
197	22260	20410	0
198	22260	20410	0
199	22260	20410	0
200	22260	20410	0
201	22260	20410	0
202	22260	20410	0
203	22259	20410	0
204	22259	20410	0
205	22259	20410	0
206	22259	20409	0
207	22259	20409	0
208	22259	20409	0
209	22259	20408	0
210	22259	20408	0
211	22258	20408	0
212	22258	20408	0
213	22258	20408	0
214	22258	20408	0
215	22258	20408	0
216	22258	20408	0
217	22258	20408	0
218	22258	20408	0
219	22258	20408	0
220	22258	20408	0
221	22258	20408	0
222	22258	20408	0
223	22258	20408	0
224	22258	20408	0
225	22258	20408	0
226	22258	20408	0
227	22258	20408	0
228	22258	20408	0
229	22258	20408	0
230	22258	20408	0
231	22258	20408	0
232	22258	20408	0
233	22258	20408	0
234	22258	20407	0
235	22258	20407	0
236	22258	20407	0
237	22258	20407	0
238	22258	20407	0
239	22258	20407	0
240	22258	20407	0
241	22258	20407	0
242	22258	20407	0
243	22258	20407	0
244	22258	20407	0
245	22258	20407	0
246	22258	20407	0
247	22258	20407	0
248	22258	20407	0
249	22257	20407	0
250	22257	20407	0
251	22257	20407	0
252	22256	20407	0
253	22256	20407	0
254	22256	20407	0
255	22256	20407	0
256	22256	20407	0
257	22256	20407	0
258	22255	20407	0
259	22255	20407	0
260	22254	20407	0
261	22254	20407	0
262	22254	20407	0
263	22254	20407	0
264	22254	20407	0
265	22254	20407	0
266	22254	20407	0
267	22254	20407	0
268	22254	20407	0
269	22254	20407	0
270	22254	20407	0
271	22254	20407	0
272	22254	20407	0
273	22254	20407	0
274	22254	20407	0
275	22254	20407	0
276	22254	20407	0
277	22254	20407	0
278	22254	20407	0
279	22254	20407	0
280	22254	20407	0
281	22254	20407	0
282	22254	20407	0
283	22254	20407	0
284	22254	20407	0
285	22254	20407	0
286	22254	20407	0
287	22254	20407	0
288	22254	20407	0
289	22254	20407	0
290	22254	20407	0
291	22254	20407	0
292	22254	20407	0
293	22254	20407	0
294	22254	20407	0
295	22254	20407	0
296	22254	20407	0
297	22254	20407	0
298	22254	20407	0
299	22253	20407	0
300	22253	20407	0
301	22253	20406	0
302	22253	20406	0
303	22253	20406	0
304	22253	20406	0
305	22253	20406	0
306	22253	20406	0
307	22253	20406	0
308	22253	20406	0
309	22253	20406	0
310	22253	20406	0
311	22253	20406	0
312	22253	20406	0
313	22253	20406	0
314	22253	20406	0
315	22253	20406	0
316	22253	20406	0
317	22253	20406	0
318	22253	20406	0
319	22253	20406	0
320	22253	20406	0
321	22253	20406	0
322	22253	20406	0
323	22253	20406	0
324	22253	20406	0
325	22253	20406	0
326	22253	20406	0
327	22253	20406	0
328	22253	20406	0
329	22253	20406	0
330	22253	20406	0
331	22253	20406	0
332	22253	20406	0
333	22253	20406	0
334	22253	20406	0
335	22253	20406	0
336	22253	20406	0
337	22253	20406	0
338	22253	20406	0
339	22253	20406	0
340	22253	20406	0
341	22253	20406	0
342	22253	20406	0
343	22253	20406	0
344	22253	20406	0
345	22253	20406	0
346	22253	20406	0
347	22253	20406	0
348	22253	20406	0
349	22253	20406	0
350	22253	20406	0
351	22253	20406	0
352	22253	20406	0
353	22253	20406	0
354	22253	20406	0
355	22253	20406	0
356	22253	20406	0
357	22253	20406	0
358	22253	20406	0
359	22253	20406	0
360	22253	20406	0
361	22253	20406	0
362	22253	20406	0
363	22252	20406	0
364	22252	20406	0
365	22252	20406	0
366	22252	20406	0
367	22252	20406	0
368	22252	20406	0
369	22252	20406	0
370	22252	20406	0
371	22252	20406	0
372	22252	20406	0
373	22252	20406	0
374	22252	20406	0
375	22252	20406	0
376	22252	20406	0
377	22252	20406	0
378	22252	20406	0
379	22252	20406	0
380	22252	20406	0
381	22252	20406	0
382	22252	20406	0
383	22252	20406	0
384	22252	20406	0
385	22252	20406	0
386	22252	20406	0
387	22252	20406	0
388	22252	20406	0
389	22252	20406	0
390	22252	20406	0
391	22252	20406	0
392	22252	20406	0
393	22251	20406	0
394	22251	20406	0
395	22251	20406	0
396	22251	20406	0
397	22251	20406	0
398	22251	20406	0
399	22250	20406	0
400	22250	20406	0
401	22250	20406	0
402	22250	20406	0
403	22249	20406	0
404	22249	20406	0
405	22249	20406	0
406	22249	20406	0
407	22249	20406	0
408	22249	20406	0
409	22249	20406	0
410	22249	20406	0
411	22249	20406	0
412	22249	20406	0
413	22249	20406	0
414	22249	20406	0
415	22249	20406	0
416	22249	20406	0
417	22249	20406	0
418	22249	20406	0
419	22249	20406	0
420	22249	20406	0
421	22249	20406	0
422	22248	20405	0
423	22248	20405	0
424	22248	20405	0
425	22248	20405	0
426	22248	20405	0
427	22248	20405	0
428	22248	20405	0
429	22248	20405	0
430	22248	20405	0
431	22248	20405	0
432	22248	20405	0
433	22248	20405	0
434	22248	20405	0
435	22248	20405	0
436	22248	20404	0
437	22248	20404	0
438	22247	20404	0
439	22247	20404	0
440	22247	20404	0
441	22247	20404	0
442	22247	20404	0
443	22247	20404	0
444	22247	20404	0
445	22247	20404	0
446	22247	20404	0
447	22247	20404	0
448	22247	20404	0
449	22247	20404	0
450	22247	20404	0
451	22247	20404	0
452	22247	20404	0
453	22247	20404	0
454	22247	20404	0
455	22247	20404	0
456	22247	20404	0
457	22247	20404	0
458	22247	20404	0
459	22247	20404	0
460	22247	20404	0
461	22247	20404	0
462	22247	20404	0
463	22247	20404	0
464	22247	20404	0
465	22247	20404	0
466	22247	20404	0
467	22247	20404	0
468	22247	20404	0
469	22247	20404	0
470	22247	20404	0
471	22247	20404	0
472	22246	20404	0
473	22245	20404	0
474	22245	20404	0
475	22245	20404	0
476	22245	20404	0
477	22245	20404	0
478	22245	20404	0
479	22245	20404	0
480	22244	20404	0
481	22243	20404	0
482	22243	20404	0
483	22243	20404	0
484	22243	20404	0
485	22243	20404	0
486	22243	20404	0
487	22243	20404	0
488	22243	20404	0
489	22243	20404	0
490	22243	20404	0
491	22243	20404	0
492	22243	20404	0
493	22243	20404	0
494	22243	20404	0
495	22243	20404	0
496	22243	20404	0
497	22243	20404	0
498	22243	20404	0
499	22243	20404	0
500	22243	20404	0
501	22242	20404	0
502	22242	20404	0
503	22242	20404	0
504	22242	20404	0
505	22242	20404	0
506	22242	20404	0
507	22242	20404	0
508	22242	20404	0
509	22242	20404	0
510	22242	20404	0
511	22242	20404	0
512	22242	20404	0
513	22242	20404	0
514	22242	20403	0
515	22242	20403	0
516	22242	20403	0
517	22242	20403	0
518	22242	20403	0
519	22242	20403	0
520	22242	20403	0
521	22242	20403	0
522	22242	20403	0
523	22242	20403	0
524	22242	20403	0
525	22242	20403	0
526	22242	20403	0
527	22242	20403	0
528	22242	20403	0
529	22242	20403	0
530	22242	20403	0
531	22242	20403	0
532	22242	20403	0
533	22242	20403	0
534	22242	20402	0
535	22242	20402	0
536	22242	20402	0
537	22242	20402	0
538	22242	20402	0
539	22242	20402	0
540	22242	20402	0
541	22242	20402	0
